name,line,latitude,longitude
闻居路,,31.1325925,121.7596038
金闻路,,31.1195899,121.7690328
上海东站,,31.1216364,121.7776989
浦东3号航站楼,,31.1216549,121.8161774
西岑,,31.0726117,120.9598944
前湾公园,,31.2222835,121.2670666
天山路,,31.2208904,121.3177311
青浦新城南,,31.1259122,121.0974594
华青路,,31.1885962,121.1262527
重固,,31.1917421,121.1795696
上海大学,,31.3223633,121.3839347
虹桥2号航站楼,,31.196134,121.3198748
朱家角南,,31.0966932,121.0456261
水乡客厅,,31.0428053,120.9129633
西岑,,31.0722092,120.9597477
凤溪,,31.1973058,121.226501
滴水湖,,30.9124996,121.9246638
学林路,,31.1860407,121.6088323
东陆路,,31.2846873,121.5746438
外环路,,31.1228126,121.3883624
